"code_system","code","display"
"https://ibsi.readthedocs.io/en/latest/","1WTP","ButterworthFilter"
"https://ibsi.readthedocs.io/en/latest/","PJBO","ColliageFilter"
"https://ibsi.readthedocs.io/en/latest/","FTIJ","MedianFilter"
"https://ibsi.readthedocs.io/en/latest/","9IQY","SavitzkyGolayFilter"
"https://ibsi.readthedocs.io/en/latest/","SUUU","WaveletFilter"
"https://ibsi.readthedocs.io/en/latest/","WVUQ","ROIMask_PartialVolumeCutOff"
"https://ibsi.readthedocs.io/en/latest/","REY6","SegmentationMethods"
"https://ibsi.readthedocs.io/en/latest/","SBDE","Automated"
"https://ibsi.readthedocs.io/en/latest/","OAX6","Manual"
"https://ibsi.readthedocs.io/en/latest/","TGHU","SemiAutomated"
"https://ibsi.readthedocs.io/en/latest/","6VTB","SupervisedMethods"
"https://ibsi.readthedocs.io/en/latest/","TV5D","DeepLearning"
"https://ibsi.readthedocs.io/en/latest/","KJIF","NeuralNetwork"
"https://ibsi.readthedocs.io/en/latest/","D3RT","SupportVectorMachine"
"https://ibsi.readthedocs.io/en/latest/","ZJJY","UnsupervisedMethods"
"https://ibsi.readthedocs.io/en/latest/","2KAW","CMeansFuzzy"
"https://ibsi.readthedocs.io/en/latest/","OPMG","Kmean"
"https://ibsi.readthedocs.io/en/latest/","HF5R","Manual"
"https://ibsi.readthedocs.io/en/latest/","W455","InPolygon"
"https://ibsi.readthedocs.io/en/latest/","8LVU","RayCasting"
"https://ibsi.readthedocs.io/en/latest/","WAB9","EdgeBased"
"https://ibsi.readthedocs.io/en/latest/","XL0Q","GradientEdgeBased"
"https://ibsi.readthedocs.io/en/latest/","N20K","HoughTransformBased"
"https://ibsi.readthedocs.io/en/latest/","VZXY","LaplacianEdgeBased"
"https://ibsi.readthedocs.io/en/latest/","EOOR","MarrHildrethEdgeBased"
"https://ibsi.readthedocs.io/en/latest/","Q6DD","ModelBased"
"https://ibsi.readthedocs.io/en/latest/","MGZ1","ActiveShape"
"https://ibsi.readthedocs.io/en/latest/","SR1C","AppereanceModel"
"https://ibsi.readthedocs.io/en/latest/","LAQN","AtlasModel"
"https://ibsi.readthedocs.io/en/latest/","UU0Q","DeformableModel"
"https://ibsi.readthedocs.io/en/latest/","ZCA3","RegionBased"
